,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,Wind Speed
135,Ust-Barguzin,66,RU,1570148966,74,53.41,109.03,34.91,1.16
136,Lazaro Cardenas,40,MX,1570148967,69,28.39,-105.62,75.99,5.82
137,Barrow,100,AR,1570148967,60,-38.31,-60.23,44.56,11.34
138,Mackay,90,CA,1570148968,76,53.65,-115.58,50.0,5.32
139,Provideniya,90,RU,1570148969,87,64.42,-173.23,42.8,20.13
140,Tiwi,1,PH,1570148969,72,13.46,123.68,80.84,0.72
141,Istiaia,40,GR,1570148969,77,38.96,23.15,71.01,16.11
142,Arraial do Cabo,0,BR,1570148970,84,-22.97,-42.02,71.43,19.44
143,Teknaf,67,BD,1570148970,82,20.86,92.31,80.7,6.69
144,Binga,0,ZW,1570148971,72,-17.62,27.34,66.43,4.36
145,Bethel,90,US,1570148878,81,60.79,-161.76,48.2,16.11
146,Portland,90,US,1570148695,70,43.66,-70.25,50.0,4.7
147,Hithadhoo,99,MV,1570148972,78,-0.6,73.08,82.21,15.05
148,San Andres,9,PH,1570148973,75,13.32,122.68,81.35,2.48
149,Okhotsk,0,RU,1570148973,37,59.36,143.24,27.65,18.1
150,Mach,0,PK,1570148974,51,29.87,67.33,55.1,1.39
151,Mamallapuram,20,IN,1570148974,88,12.63,80.17,80.6,5.82
152,Rayon,90,FR,1570148975,87,49.17,2.04,52.0,6.93
153,Lakheri,0,IN,1570148975,94,25.67,76.19,75.2,2.24
154,Lafia,100,NG,1570148976,90,8.5,8.51,74.51,1.5
155,Lompoc,1,US,1570148977,63,34.64,-120.46,75.99,14.99
156,Narsaq,100,GL,1570148977,29,60.91,-46.05,50.0,20.8
157,Sao Felix do Xingu,28,BR,1570148977,76,-6.64,-51.99,75.23,2.55
158,Peniche,90,PT,1570148978,100,39.36,-9.38,66.0,2.24
159,Carnarvon,0,ZA,1570148978,37,-30.97,22.13,49.9,9.62
160,Faanui,49,PF,1570148979,79,-16.48,-151.75,78.34,16.31
161,Konotop,55,UA,1570148979,97,51.24,33.21,54.15,8.39
162,Burdur,20,TR,1570148980,82,37.72,30.29,55.4,4.7
163,Batemans Bay,49,AU,1570148980,73,-35.71,150.18,78.01,3.0
164,Ribeira Grande,20,PT,1570148980,83,38.52,-28.7,69.8,16.11
165,Gushikawa,1,JP,1570148981,74,26.35,127.87,82.4,8.05
166,Caravelas,0,BR,1570148982,79,-17.73,-39.27,73.88,10.18
167,Azangaro,75,PE,1570148982,61,-14.91,-70.2,50.0,6.93
168,Taoudenni,0,ML,1570148983,9,22.68,-3.98,91.25,4.32
169,Mega,1,ET,1570148983,60,4.06,38.32,73.37,10.2
170,Victoria,75,BN,1570148808,94,5.28,115.24,77.0,9.1
171,San Cristobal,94,HN,1570148984,88,14.68,-86.92,70.6,2.42
172,Plouzane,90,FR,1570148984,93,48.38,-4.62,57.0,5.82
173,Saint Anthony,1,US,1570148985,36,43.97,-111.68,61.0,4.41
174,Nikolskoye,90,RU,1570148985,86,59.7,30.79,39.2,6.71
175,Thunder Bay,75,CA,1570148986,86,48.41,-89.26,39.2,6.93
176,Honolulu,40,US,1570148897,52,21.3,-157.86,87.8,17.22
177,Neryungri,96,RU,1570148987,68,56.66,124.71,28.52,4.7
178,Muroto,20,JP,1570148987,61,33.37,134.14,78.8,13.87
179,Mar del Plata,0,AR,1570148886,23,-46.43,-67.52,55.0,9.91
180,Torbay,75,CA,1570148988,69,47.66,-52.73,42.01,13.87
181,Khatanga,0,RU,1570148988,85,71.98,102.47,19.37,9.78
182,Klyuchi,33,RU,1570148989,48,52.25,79.17,41.12,4.16
183,San Quintin,2,PH,1570148989,77,17.54,120.52,77.06,3.09
184,Praia,0,BR,1570148743,41,-20.25,-43.81,75.2,12.75
185,Geraldton,90,CA,1570148990,80,49.72,-86.95,35.6,5.82
186,Manzanillo,75,MX,1570148991,79,19.05,-104.32,86.0,5.32
187,Mahebourg,75,MU,1570148991,94,-20.41,57.7,73.4,14.99
188,Nassau,0,AT,1570148992,93,46.81,15.34,43.0,1.12
189,Creel,47,MX,1570148992,91,27.75,-107.63,60.0,0.89
190,Luderitz,0,NA,1570148993,79,-26.65,15.16,55.82,21.43
191,Kununurra,17,AU,1570148993,54,-15.77,128.74,84.2,5.82
192,Qaanaaq,91,GL,1570148994,58,77.48,-69.36,29.87,6.08
193,Iracoubo,34,GF,1570148994,82,5.48,-53.21,78.83,7.61
194,Pevek,100,RU,1570148995,84,69.7,170.27,31.36,12.68
195,Henties Bay,0,NA,1570148995,87,-22.12,14.28,63.0,5.99
196,Kiama,75,AU,1570148996,60,-34.67,150.86,77.0,17.22
197,Heihe,0,RU,1570148996,74,50.24,127.51,30.2,5.3
198,Amarante do Maranhao,43,BR,1570148997,68,-5.57,-46.74,77.24,3.91
199,Vanimo,100,PG,1570148997,68,-2.67,141.3,82.68,2.44
200,Ivanteyevka,0,RU,1570148998,67,55.97,37.92,59.0,8.95
201,Vila Velha,75,BR,1570148998,74,-3.71,-38.6,80.6,13.87
202,Flinders,75,AU,1570148999,60,-34.58,150.85,88.0,17.22
203,Linhares,12,BR,1570148999,85,-19.38,-40.06,68.84,3.56
204,Gizo,20,IL,1570149000,73,31.8,34.94,71.6,2.24
205,Sistranda,20,NO,1570149000,69,63.73,8.83,39.2,11.41
206,Huarmey,15,PE,1570149001,91,-10.07,-78.15,61.51,17.07
207,Santa Maria,0,BR,1570149001,32,-16.02,-48.01,82.4,2.24
208,Amuntai,44,ID,1570149002,81,-2.42,115.25,78.12,3.15
209,Coquimbo,0,CL,1570149002,71,-29.95,-71.34,55.4,11.41
210,Bonfim,58,GY,1570149003,58,3.36,-59.84,84.35,6.98
211,Kahului,40,US,1570149003,52,20.89,-156.47,89.6,23.04
212,Acapulco,40,MX,1570149004,74,16.86,-99.88,84.2,1.83
213,Tiksi,100,RU,1570149004,90,71.64,128.87,22.32,26.24
214,Bankura,75,IN,1570149005,88,23.24,87.07,77.0,2.24
215,Bontang,87,ID,1570149005,82,0.12,117.47,79.33,1.32
216,Ergani,0,TR,1570149006,44,38.27,39.76,64.4,4.7
217,Itapui,0,BR,1570149006,45,-22.23,-48.72,82.4,4.7
218,General Roca,75,AR,1570149007,87,-39.03,-67.58,46.4,17.69
219,Ahvaz,0,IR,1570149008,38,31.32,48.68,87.8,2.24
220,Kampot,20,KH,1570149008,88,10.62,104.18,80.6,2.24
221,Cherskiy,99,RU,1570149009,88,68.75,161.3,24.54,7.07
222,Esperance,90,AU,1570149009,87,-33.86,121.89,55.4,18.34
223,College,90,US,1570149010,100,64.86,-147.8,41.0,2.75
224,Chuy,60,UY,1570149010,81,-33.69,-53.46,57.79,9.6
225,Saldanha,0,PT,1570149011,85,41.42,-6.55,60.7,2.64
226,Grand Gaube,75,MU,1570149011,94,-20.01,57.66,73.4,14.99
227,Pasni,63,PK,1570149012,82,25.26,63.48,79.49,4.74
228,Atbasar,83,KZ,1570149012,43,51.81,68.36,43.58,8.66
229,Tonantins,51,BR,1570149013,82,-2.86,-67.77,77.89,4.41
230,Agadez,1,NE,1570149014,16,16.97,7.99,91.4,9.22
231,Tocopilla,43,CL,1570149014,85,-22.09,-70.2,58.32,12.95
232,Sitka,89,US,1570149015,75,37.17,-99.65,57.0,10.0
233,Margate,75,AU,1570149015,44,-43.03,147.26,57.2,8.05
234,Kamaishi,75,JP,1570149016,88,39.28,141.86,69.8,11.41
235,Aksarka,3,RU,1570149016,86,66.56,67.8,32.89,18.97
236,Georgetown,0,GY,1570148847,78,6.8,-58.16,82.4,6.93
237,Kihei,40,US,1570148895,52,20.76,-156.45,89.6,23.04
238,Tallmadge,40,US,1570149017,82,41.1,-81.44,73.0,9.17
239,Albury,1,AU,1570149018,52,-36.08,146.92,69.8,4.7
240,Patnanungan,53,PH,1570149018,73,14.78,122.18,82.43,5.37
241,Povorino,16,RU,1570149019,92,51.2,42.24,50.0,9.22
242,Iqaluit,40,CA,1570149019,86,63.75,-68.52,33.8,13.87
243,Paamiut,92,GL,1570149020,84,61.99,-49.67,42.12,5.7
244,Sao Joao da Barra,5,BR,1570149020,89,-21.64,-41.05,69.5,4.72
245,Tura,100,RU,1570149021,96,64.27,100.22,36.02,5.64
246,Brae,40,GB,1570149022,93,60.4,-1.35,44.6,6.93
247,Pochutla,90,MX,1570149022,78,15.74,-96.47,78.8,5.82
248,Shiyan,100,CN,1570149023,91,32.65,110.78,62.88,2.55
249,Teguldet,53,RU,1570149023,89,57.31,88.17,38.06,8.81
250,Palu,100,ID,1570149013,92,-0.9,119.87,73.37,1.19
251,Matagami,99,NG,1570149024,96,9.67,8.4,68.31,1.14
252,Kruisfontein,0,ZA,1570149025,82,-34.0,24.73,53.37,5.39
253,Hit,0,IQ,1570149025,24,33.64,42.83,73.25,10.36
254,Ilulissat,19,GL,1570149026,31,69.22,-51.1,48.2,18.34
255,Mweka,100,CD,1570149026,98,-4.85,21.56,70.42,3.24
256,Barinas,100,VE,1570149027,87,8.64,-70.23,74.85,2.73
257,Banposh,100,IN,1570149028,87,22.25,84.8,71.45,2.13
258,Ngunguru,13,NZ,1570149028,60,-35.62,174.5,63.0,8.01
259,Pacific Grove,1,US,1570149029,59,36.62,-121.92,73.0,10.29
260,Cabedelo,75,BR,1570149030,83,-6.97,-34.84,77.0,11.41
261,Hobyo,57,SO,1570149030,92,5.35,48.53,76.31,6.44
262,Chapais,90,CA,1570149031,74,49.78,-74.86,33.8,6.93
263,Labuhan,82,ID,1570149031,68,-2.54,115.51,78.61,0.47
264,Hambantota,83,LK,1570149032,79,6.12,81.12,79.78,4.94
265,Gravelbourg,7,CA,1570149033,66,49.88,-106.56,48.66,10.89
266,Thompson,20,CA,1570149033,52,55.74,-97.86,46.4,4.7
267,Sur,0,OM,1570149034,61,22.57,59.53,83.76,11.32
268,Bandarbeyla,12,SO,1570149034,82,9.49,50.81,75.95,5.28
269,Kearney,1,US,1570149035,58,40.7,-99.08,59.0,6.93
270,Souillac,90,FR,1570149035,93,45.6,-0.6,59.0,10.29
271,Belawan,100,ID,1570149036,97,-0.59,114.46,73.16,0.58
272,Shemursha,89,RU,1570149036,82,54.89,47.52,52.37,9.93
273,Kokopo,100,PG,1570149037,66,-4.34,152.27,81.15,0.83
274,Kalmeshwar,40,IN,1570149037,94,21.24,78.91,73.4,4.38
275,Shakawe,27,BW,1570149038,25,-18.36,21.84,69.25,7.85
276,Sabzevar,0,IR,1570149038,75,36.21,57.68,43.89,0.83
277,Aksu,0,KZ,1570149038,40,52.04,76.93,32.0,4.47
278,Rovaniemi,90,FI,1570149039,91,66.5,25.72,32.0,5.82
279,Bambous Virieux,75,MU,1570149039,94,-20.34,57.76,73.4,14.99
280,Mehamn,98,NO,1570149040,97,71.03,27.85,34.53,14.97
281,Bathsheba,40,BB,1570149041,83,13.22,-59.52,82.4,8.05
282,Kodinsk,92,RU,1570149041,95,58.6,99.18,34.64,7.76
283,Elizabeth City,40,US,1570149042,94,36.3,-76.22,80.01,8.05
284,Tagusao,85,PH,1570149042,76,9.19,117.81,80.39,5.66
285,Matara,0,BI,1570149042,90,-3.48,29.48,51.59,3.56
286,Auki,100,NG,1570149043,74,12.18,6.51,75.98,9.82
287,Tamandare,82,BR,1570149043,91,-8.28,-70.75,73.91,1.5
288,El Dorado,20,TT,1570149044,78,10.65,-61.37,82.4,5.82
289,San Patricio,97,PY,1570149044,83,-26.98,-56.83,71.61,3.44
290,La Ronge,40,CA,1570149045,57,55.1,-105.3,50.0,6.93
291,Kabanjahe,71,ID,1570149046,74,3.1,98.49,81.0,2.57
292,Cayenne,0,GF,1570149046,83,4.94,-52.33,78.8,2.24
293,Zharkent,34,KZ,1570149046,56,44.17,80.0,33.99,1.05
294,Laurel,90,US,1570149047,88,39.1,-76.85,73.99,4.7
295,Roanoke,1,US,1570148977,42,37.27,-79.94,84.0,8.05
296,Havre-Saint-Pierre,90,CA,1570149048,52,50.23,-63.6,42.8,5.82
297,Kudahuvadhoo,100,MV,1570149048,70,2.67,72.89,82.71,4.68
298,Guerrero Negro,7,MX,1570149049,77,27.97,-114.04,68.6,14.18
299,Lagoa,0,PT,1570149049,73,37.14,-8.45,69.8,10.29
300,Lasa,20,CY,1570149050,72,34.92,32.53,69.8,8.05
301,Teya,75,MX,1570149050,74,21.05,-89.07,84.2,4.7
302,Sampit,89,ID,1570149050,82,-2.54,112.95,78.2,5.06
303,Odienne,90,CI,1570149051,91,9.51,-7.57,71.72,2.15
304,Aklavik,90,CA,1570149051,100,68.22,-135.01,39.2,4.7
305,Muros,90,ES,1570149052,100,42.77,-9.06,64.0,3.36
306,Yagoua,53,CM,1570149052,81,10.34,15.23,74.56,3.11
307,Tomatlan,61,MX,1570149053,79,19.93,-105.25,81.83,4.52
308,Vitim,100,RU,1570149053,97,59.44,112.57,35.68,9.6
309,Santa Engracia,0,ES,1570149054,58,41.94,-1.32,64.4,3.36
310,Ambilobe,100,MG,1570149054,77,-13.19,49.05,74.33,6.96
311,Pangnirtung,30,CA,1570149055,72,66.15,-65.72,25.24,5.3
312,Faya,0,SA,1570149055,36,18.39,42.45,66.2,2.3
313,Ouegoa,15,NC,1570149056,70,-20.34,164.44,69.9,9.91
314,Hervey Bay,0,AU,1570149056,43,-25.3,152.85,78.01,8.05
315,Shagonar,0,RU,1570149056,57,51.54,92.92,30.5,1.25
316,Necochea,100,AR,1570149057,69,-38.55,-58.74,46.0,3.0
317,Mikhaylovka,0,RU,1570149057,72,52.96,103.29,33.09,2.48
318,Jalu,0,LY,1570149058,20,29.03,21.55,82.08,16.87
319,Sept-Iles,75,CA,1570149007,55,50.2,-66.38,39.99,8.05
320,Hay River,20,CA,1570149059,37,60.82,-115.79,66.2,5.82
321,Mana,52,NG,1570149059,58,13.03,5.27,81.83,12.26
322,Alofi,75,NU,1570149059,69,-19.06,-169.92,80.6,14.99
323,Rocha,45,UY,1570149060,85,-34.48,-54.34,52.3,8.19
324,Jadu,3,LY,1570149060,73,31.95,12.03,66.98,4.81
325,Katsuura,20,JP,1570149061,61,33.93,134.5,81.0,12.75
326,Atherton,75,AU,1570149061,94,-17.27,145.48,71.01,20.8
327,Mandalgovi,0,MN,1570149062,67,45.76,106.27,28.28,1.36
328,Sabang,64,PH,1570149062,79,13.8,121.11,84.0,1.01
329,Makushino,98,RU,1570149063,94,55.21,67.25,47.4,6.71
330,Mjolby,55,SE,1570149063,81,58.33,15.12,34.0,6.93
331,Nouadhibou,5,MR,1570149064,51,20.93,-17.03,80.6,21.92
332,Adrar,54,DZ,1570149064,15,27.87,-0.29,77.0,12.75
333,Isangel,75,VU,1570149064,57,-19.55,169.27,78.8,11.41
334,Shizunai,100,JP,1570148896,95,42.33,142.37,64.54,27.45
335,Santiago de Cuba,75,CU,1570149065,94,20.03,-75.83,77.0,3.36
336,Mapiripan,97,CO,1570149066,92,2.89,-72.13,71.66,3.15
337,Khash,0,IR,1570149066,45,28.22,61.21,50.22,1.03
338,Nabisar,0,PK,1570149067,78,25.07,69.64,80.16,10.69
339,Zhanaozen,0,KZ,1570149068,35,43.35,52.85,56.06,12.66
340,Tateyama,75,JP,1570149068,78,36.66,137.31,73.0,9.17
341,North Bend,90,US,1570149069,81,43.41,-124.22,59.0,12.75
342,Mindelo,90,PT,1570149069,93,41.31,-8.72,64.4,5.82
343,Maragogi,34,BR,1570149070,93,-9.01,-35.22,72.24,7.05
344,Lukovetskiy,40,RU,1570149070,92,64.29,41.92,30.2,4.47
345,Pimentel,16,BR,1570149071,66,-3.7,-45.5,79.28,3.31
346,Kendari,83,ID,1570149071,66,-3.99,122.52,81.62,3.09
347,Namatanai,100,PG,1570149072,72,-3.66,152.44,82.35,4.41
348,Homestead,20,US,1570149072,74,25.47,-80.48,82.0,10.29
349,Stara Synyava,100,UA,1570149072,82,49.6,27.62,46.71,11.16
350,Northam,75,AU,1570149073,77,-31.65,116.67,62.6,19.46
351,Sioux Lookout,90,CA,1570149073,86,50.1,-91.92,39.2,3.36
352,Asbe Teferi,100,ET,1570149074,84,9.08,40.87,65.07,3.62
353,Pridonskoy,0,RU,1570149074,93,51.68,39.08,51.8,6.71
354,Banda Aceh,93,ID,1570149075,73,5.56,95.32,81.0,3.91
355,Pinheiro Machado,100,BR,1570149076,96,-31.58,-53.38,55.3,12.88
356,Istra,0,RU,1570149076,67,55.91,36.86,59.0,8.95
357,Rugby,75,GB,1570149017,100,52.37,-1.26,55.99,4.7
358,Tebingtinggi,98,ID,1570149077,74,3.33,99.16,81.0,2.48
359,Bongor,53,TD,1570149077,81,10.28,15.37,74.56,3.11
360,Vila Franca do Campo,20,PT,1570149078,68,37.72,-25.43,72.0,6.93
361,Pahrump,1,US,1570149079,5,36.21,-115.98,82.0,9.17
362,Saskylakh,0,RU,1570149079,84,71.97,114.09,12.44,2.44
363,Sao Jose da Coroa Grande,34,BR,1570149080,93,-8.9,-35.15,72.24,7.05
364,Balkhash,0,KZ,1570149080,24,46.84,74.98,43.58,12.8
365,Cherdyn,100,RU,1570149081,89,60.4,56.48,38.13,1.63
366,Katobu,55,ID,1570149081,61,-4.94,122.53,82.19,5.84
367,Broome,100,GB,1570149082,93,52.47,1.45,54.0,11.41
368,Nata,53,BW,1570149082,56,-20.21,26.19,68.35,13.13
369,Boddam,75,GB,1570149083,87,57.47,-1.78,50.0,10.29
370,Nelson,100,CA,1570149083,64,49.49,-117.29,52.0,1.99
371,Dubti,13,ET,1570149084,59,11.74,41.09,85.54,11.63
372,Bartica,20,GY,1570149084,88,6.41,-58.62,80.6,4.7
373,Egvekinot,97,RU,1570149085,94,66.32,-179.17,26.03,8.7
374,Robertsport,99,LR,1570149085,90,6.75,-11.37,77.21,4.72
